X,Y,OBJECTID,ifc_uid,Type_Description,Session_Key,Object_Metadata,Botanical_ID,Planning_Ref_No,Number_Trees,Data_Sheet_URL,created_user,created_date,last_edited_user,last_edited_date
527080.0186,5252949.4122,1,1482103,PLANNING Significant Trees,Sketch,,Cedrus atlantica,D5,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D5 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527084.289099999703467,5252935.646599999629,2,1482104,PLANNING Significant Trees,Sketch,,Pinus wallichiana,D6,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D6 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527066.08600000012666,5252934.3003,3,1482105,PLANNING Significant Trees,Sketch,,Populus nigra - italica,D7,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D7 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527058.770600000396371,5252914.8069,4,1482106,PLANNING Significant Trees,Sketch,,Cedrus atlantica,D8,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D8 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527046.771099999547005,5252894.1167,6,1482108,PLANNING Significant Trees,Sketch,,Pinus canariensis,D9,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D9 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527103.8207,5252940.5537,7,1482109,PLANNING Significant Trees,Sketch,,Cedrus atlantica,D10,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D10 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527134.065000000409782,5252951.989599999972,8,1482110,PLANNING Significant Trees,Sketch,,Pinus nigra var. maritima,D11,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D11 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527147.293999999761581,5252940.397199999541,9,1482111,PLANNING Significant Trees,Sketch,,Pinus attenuata,D12,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D12 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526937.555200000293553,5252811.525299999863,10,1482113,PLANNING Significant Trees,Sketch,,Quercus robur,B8,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B8 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527037.018000000156462,5252831.55,11,1482114,PLANNING Significant Trees,Sketch,,Cedrus deodara,B9,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B9 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527031.561300000175834,5252822.615399999544,12,1482115,PLANNING Significant Trees,Sketch,,"Cedrus atlantica ""Glauca""",B10,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B10 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527026.907999999821186,5252814.4763,13,1482116,PLANNING Significant Trees,Sketch,,Araucaria bidwillii,B11,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B11 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527023.822399999946,5252809.371,14,1482117,PLANNING Significant Trees,Sketch,,Abies pinsapo,B12,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B12 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527019.531999999657273,5252802.678399999626,15,1482118,PLANNING Significant Trees,Sketch,,Aesculus hippocastanum,B13,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B13 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526991.629599999636412,5252782.54889999982,16,1482119,PLANNING Significant Trees,Sketch,,Abies numidica,B14,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B14 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527011.027599999681115,5252795.05399999954,17,1482120,PLANNING Significant Trees,Sketch,,Abies pinsapo var Glauca,B15,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B15 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526973.379999999888241,5252753.5925,18,1482121,PLANNING Significant Trees,Sketch,,Lauris nobilis,B16,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B16 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526963.729899999685585,5252756.639899999835,19,1482122,PLANNING Significant Trees,Sketch,,"Cedrus atlantica ""Glauca""",B17,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B17 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526967.323200000450015,5252876.8562,20,1482123,PLANNING Significant Trees,Sketch,,Pinus wallichiana,B18,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B18 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526944.0422,5252907.8267,21,1482126,PLANNING Significant Trees,Sketch,,Casaurina obesa,B21,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B21 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525912.050300000235438,5250884.649699999951,23,1480344,PLANNING Significant Trees,Sketch,,Araucaria heterophylla,E1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/E1 3 Elboden St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525795.481100000441074,5250810.522199999541,24,1480345,PLANNING Significant Trees,Sketch,,"Populus nigra cv. ""Italica""",E2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/E2 6 Elboden St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525962.194500000216067,5251114.9554,25,1480387,PLANNING Significant Trees,Sketch,,Tilea x europaea,M1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M1 326 Macquarie St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527086.210900000296533,5252962.5548,26,1482102,PLANNING Significant Trees,Sketch,,Pinus sabiniana,D4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D4 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526812.549599999561906,5252035.567499999888,45,1482008,PLANNING Significant Trees,Sketch,,Quercus ilex,M9,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M9 23 Murray St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
522430.895999999716878,5250308.794099999592,46,1482011,PLANNING Significant Trees,Sketch,,Euc. viminalis,S3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S3 209 Strickland Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526921.482599999755621,5252912.4824,47,1482124,PLANNING Significant Trees,Sketch,,Araucaria columellaris,B19,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B19 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526922.764000000432134,5252923.0466,48,1482125,PLANNING Significant Trees,Sketch,,Casaurina obesa,B20,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B20 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526830.508600000292063,5252831.252399999648,49,1480304,PLANNING Significant Trees,Sketch,,Abies numidica,B7,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B7 71 Brooker Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
523001.479100000113249,5250914.9117,50,1483122,PLANNING Significant Trees,Sketch,,Notelaea ligustrina,O1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/O1 14 Old Farm Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527083.3207,5252978.281299999915,51,1482101,PLANNING Significant Trees,Sketch,,Pinus ponderosa,D3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D3 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525322.324,5253586.0525,53,1482005,PLANNING Significant Trees,Sketch,,Betula pendula,M6,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M6 16 Mortimer Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525321.3267,5253580.964399999939,54,1482006,PLANNING Significant Trees,Sketch,,Betula pendula,M7,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M7 18 Mortimer Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
524896.852199999616,5253175.03199999966,55,1482007,PLANNING Significant Trees,Sketch,,"Taxus baccata ""Aurea""",M8,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M8 55 Mount Stuart Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
524989.566700000315905,5252822.9444,58,1482012,PLANNING Significant Trees,Sketch,,Acer palmatum,S4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S4 9 Summerhill Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
521858.56180000025779,5247659.9839,59,1482013,PLANNING Significant Trees,Sketch,,Euc. pulchella,S5,2,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S5 64 Summerleas Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525678.2489,5250856.688299999572,60,1482015,PLANNING Significant Trees,Sketch,,Sophora microphylla,W2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W2 4 Weld St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525682.134200000204146,5250834.5718,61,1482014,PLANNING Significant Trees,Sketch,,Cupressus spp.,W1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W1 4 Weld St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
524745.1288,5250622.086299999617,62,1482017,PLANNING Significant Trees,Sketch,,Euc. globulus,W4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W4 adj. 98 Wentworth St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525798.817099999636412,5251348.7925,63,1480385,PLANNING Significant Trees,Sketch,,Cupressus lusitanica,L2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L2 394 Liverpool St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
527872.572999999858439,5248859.858099999838,64,1480386,PLANNING Significant Trees,1:1 (Field Survey),,"Fraxinus excelsior ""Aurea""",L3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L3 1 Longview Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525509.809500000439584,5255488.1951,66,1485289,PLANNING Significant Trees,Sketch,,Araucaria heterophylla,B2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B2 61 Bay Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525454.0614,5255498.0004,67,1485290,PLANNING Significant Trees,Sketch,,Photinia serrulata,B5,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B5 61 Bay Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525480.169499999843538,5255456.1725,68,1485291,PLANNING Significant Trees,Sketch,,Juglans regia,B4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B4 61 Bay Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525472.5636,5255447.269399999641,69,1485292,PLANNING Significant Trees,Sketch,,Corynocarpus laevigatus,B3,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/B3 61 Bay Road.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
524427.9857,5250568.906299999915,71,1485294,PLANNING Significant Trees,Sketch,,Euc. morrisbyi,W5,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/W5 136 Wentworth St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526576.70920000039041,5251443.234299999662,72,1485295,PLANNING Significant Trees,Sketch,,Euc. globulus,D1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D1 96-120 Davey St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525710.923999999649823,5251063.012699999847,73,1483063,PLANNING Significant Trees,Sketch,,Quercus robur,M2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M2 377 Macquarie St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
525679.745000000111759,5250904.6209,74,1479965,PLANNING Significant Trees,Sketch,,Cupressus tortulosa,A1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/A1 20 Adelaide St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
520701.873599999584258,5247548.9417,79,1480348,PLANNING Significant Trees,Sketch,,Nothofagus cunninghamii,G1,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/G1 50 Grays Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526796.70920000039041,5253513.659199999645,80,1480680,PLANNING Significant Trees,Sketch,,Ulmus procera,D13,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/D13 2 Davies Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526391.406299999915,5251522.00569999963,81,1483065,PLANNING Significant Trees,Sketch,,Ulmus parvifolia,M4,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/M4 212-218 Macquarie St.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
524189.736399999819696,5255283.613699999638,82,1483066,PLANNING Significant Trees,Sketch,,Aesculus hippocastanum,S2,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/S2 12 St Johns Ave.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526836.9353,5254441.363499999978,83,1481951,PLANNING Significant Trees,Sketch,,Corymbia maculata,L22,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L22 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526824.852900000289083,5254470.1546,84,1481952,PLANNING Significant Trees,Sketch,,Euc. cladocalyx,L23,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L23 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526898.511300000362098,5254032.525799999945,85,1482098,PLANNING Significant Trees,Sketch,,Pseudotsuga menziesii,L24,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L24 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526945.934500000439584,5254054.148299999535,86,1482099,PLANNING Significant Trees,Sketch,,Cephalotaxus harringtonia,L10,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L10 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526984.2401,5254046.3441,87,1481971,PLANNING Significant Trees,1:1 (Field Survey),,Quercus robur,L25,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L25 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526954.571399999782443,5254046.1661,88,1481965,PLANNING Significant Trees,Sketch,,Cupressus funebris,L9,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L9 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526930.255900000222027,5254043.075899999589,89,1481964,PLANNING Significant Trees,1:1 (Field Survey),,Pinus wallichiana,L11,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L11 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
526997.671699999831617,5253970.2165,90,1481958,PLANNING Significant Trees,1:1 (Field Survey),,Pinus taeda,L5,1,http://hccapps.hobartcity.com.au/gis/significant trees/City of Hobart listings/L5 11 Lower Domain Rd.pdf,HCCGISICT,2017-05-24T03:31:55.650Z,HCCGISICT,2017-05-24T03:31:55.650Z
